pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,habitable
1.875,7.99,0.01544,0.05,2657.8322,5172.0,0.943,0.905,0
3.95677019,20.12,0.0649,0.00577,21.2,3678.0,0.744,0.51,0
2.52202066,9.6,0.1108,0.00338,7.3,3678.0,0.744,0.51,0
21.59,3932.0,0.0656,0.066,646.761,6935.0,2.35,1.41,0
14.0,214.0,2.63,0.1,0.02,4051.0,0.747,0.679,0
12.9,1525.5763536,5.9,0.43,0.0039,4051.0,0.747,0.69,0
0.72,0.299,0.0229,0.03,6.76,3195.0,0.185,0.162,0
16.7,327.35,0.02752,0.0,2852.63,5950.0,1.11,0.95,0
10.87,874.0,0.1055,0.53,16.1089,5075.0,0.79,0.89,0
16.03,740.51,0.0436,0.0,1890.649,6440.0,1.37,1.27,0
16.14,291.438,0.04016,0.07,661.1334,5675.0,1.116,1.078,0
9.92,415.704,0.051,0.0,546.5339,5945.0,1.01,1.09,0
14.68,1102.82,0.0295,0.08,823.7009,5440.0,1.0,0.95,0
14.46,352.78,0.0518,0.047,1103.809,6090.0,1.65,1.21,0
16.432,1102.82,0.02798,0.0143,932.9076,5625.0,0.906,0.96,0
9.41556,1366.669,0.09,0.59,180.8704,5880.0,1.02,1.14,0
13.34,228.83,0.09,0.0,203.9517,6190.0,1.17,1.16,0
15.558,148.42,0.04947,0.09,786.2949,6100.0,1.186,1.0,0
1.565,7.67,0.0177,0.0,2852.0,5679.0,0.98,0.958,0
1.92,4.35,0.1195,0.06,3.5,4057.0,0.58,0.62,0
5.76,27.0,0.1493,0.0,31.9085,6069.0,1.39,1.17,0
1.676,7.8,0.01314,0.0,4656.0,5578.0,0.99,0.913,0
2.84,7.32,0.1073,0.17,70.0,5578.0,0.99,0.913,0
2.332,10.4,0.1237,0.23,69.7,5868.0,0.999,0.97,0
12.44199,4131.79,4.5,0.0,0.19,4898.0,2.7,0.9,0
1.95,8.75,0.047,0.06,1037.0,5430.0,1.71,1.05,0
3.67,14.67,0.13,0.07,160.0,5430.0,1.71,1.05,0
3.94,10.18,0.22,0.15,53.0,5430.0,1.71,1.05,0
1.02,1.03,0.01723,0.0,7.06,2999.0,0.170718,0.132,0
3.87,14.3,1.137,0.676,0.0016,2999.0,0.170718,0.132,0
1.1,1.37,0.02971,0.0,1.8,2907.0,0.153162,0.118,0
1.9,4.0,0.0418,0.0,6.27,3395.0,0.3026,0.2952,0
1.1,1.37,0.021,0.31,3.8,2953.0,0.156,0.12,0
1.18,1.74,0.035,0.29,1.4,2953.0,0.156,0.12,1
1.16,1.64,0.054,0.53,0.6,2953.0,0.156,0.12,1
1.19151465,1.83704819,0.0157,0.0118,19.3,3229.0,0.2211,0.1945,0
2.733,8.41,0.01505,0.0062,17.2,3101.0,0.2162,0.182,0
1.193,1.32,0.00915,0.0,233.0,3458.0,0.391,0.381,0
2.61,22.7,0.1915,0.188,10.8612,4640.0,0.695,0.73,0
1.83,4.0,0.0818,0.1,2.53,3451.0,0.364,0.36,0
1.51,2.89,0.091101,0.1,1.06,3382.0,0.293,0.29,1
1.06,1.18,0.036467,0.17,6.66,3382.0,0.293,0.29,0
2.13,3.34,0.03165,0.32,23.0419,3556.0,0.516,0.519,0
1.18,1.78,0.0197,0.19,118.1,3717.0,0.5,0.681,0
1.88,4.18,0.057,0.11,13.9,3717.0,0.5,0.681,0
3.23,10.5,0.698,0.32,0.1,3717.0,0.5,0.681,0
5.19,23.54,0.14339,0.06,1.07,3466.0,0.404,0.42,1
4.87,21.09,0.36175,0.11,0.17,3466.0,0.404,0.42,0
2.67,7.6,0.19394,0.12,0.59,3466.0,0.404,0.42,1
1.63,3.28,0.08208,0.21,3.34,3466.0,0.404,0.42,0
1.23,2.02,0.03282,0.23,2.58,3159.0,0.119,0.164,0
1.32,2.31,0.1264,0.17,0.17,3159.0,0.119,0.164,0
4.57,13.9,0.0355,0.017,29.6584,3600.0,0.547,0.539,0
1.264,1.86,0.01589,0.0,59.4,3347.0,0.364,0.36,0
2.63,7.41,0.0876,0.0,1.95,3347.0,0.364,0.36,0
0.699,0.633,0.00709,0.06,579.0,3522.0,0.458,0.455,0
1.09,1.75,0.0252,0.0,17.3,3384.0,0.32,0.313,0
2.26,5.71,0.081,0.0,1.68,3384.0,0.32,0.313,0
1.74,3.69,0.0405,0.0,2.45,3273.0,0.19734,0.1842,0
1.39,2.5,0.03,0.0,48.0,3726.0,0.5,0.52,0
2.5,6.82,0.09,0.0,5.4,3726.0,0.5,0.52,0
2.34,6.07,0.189,0.0,1.2,3726.0,0.5,0.52,1
1.45,2.69,0.07879,0.063,3.13,3719.0,0.3685,0.3899,0
4.17,22.1,0.0291,0.13827,29.4322,3586.11,0.455,0.47,0
1.289,2.77,0.01714,0.00086,39.2,3317.0,0.3243,0.312,0
2.13,5.2,0.422,0.45,0.28,3728.0,0.5,0.51,0
3.27,10.75,0.04685,0.577,23.32,3799.0,0.52226,0.5271,0
1.53,2.96,0.029,0.24,79.0,3913.0,0.56,0.58,0
1.88,4.2,0.068,0.0,7.95,3688.0,0.4712,0.489,0
1.44,4.28,0.0189,0.0,318.0,4236.0,0.58,0.62,0
1.13,1.86,0.0395,0.0,73.0,4236.0,0.58,0.62,0
1.98,3.02,0.053,0.0,34.9,4236.0,0.58,0.62,0
16.47720163,6261.2196179,0.0338,0.0,4650.0,7000.0,1.56,1.68,0
0.958,3.87,0.0668,0.5,1.62,3296.0,0.2617,0.2414,0
14.784671,166.86075,0.05561,0.0,259.687,5980.0,1.174,1.151,0
4.36,25.0,0.05258,0.251,100.77,4653.0,0.683,0.811,0
10.749,67.059,0.0384,0.0,118.075,4650.0,0.701,0.733,0
15.91678,1093.3352,0.0596,0.11,1038.78,6600.0,1.82,2.65,0
11.88154,616.5902,0.0965,0.19,79.7578,5568.0,1.07,1.0,0
14.448,1332.605,0.0413,0.036,1597.59,6158.0,1.237,1.218,0
11.76945,184.3414,0.0882,0.35,110.512,5246.0,0.87,0.99,0
11.153,62.61,0.0559,0.084,82.2407,4803.0,0.749,0.77,0
11.29865255,88.03846874,0.04599,0.07,154.0,4962.0,0.773,0.807,0
10.659759,2866.81223114,0.06814,0.5172,588.518,6380.0,1.39,1.33,0
9.718,2302.899,0.0361,0.015,85.1168,4595.0,0.694,0.756,0
12.44199,1547.8321,0.0494,0.23,459.542,5588.0,1.21,1.24,0
12.89035,785.0401,0.0414,0.02,325.569,5302.0,1.11,1.13,0
15.334,664.237,0.0232,0.106,2796.2342,5905.0,1.203,1.13,0
14.5717,238.3725,0.04651,0.07,1294.929,6373.0,1.38,1.37,0
12.722215,180.84527,0.0466,0.023,325.0,5519.0,0.919,1.012,0
7.06167,22.2481,0.0479,0.12,185.0743,5079.0,0.87,1.12,0
11.43,197.05,0.04,0.0,336.0384,5316.0,0.864673,0.916,0
13.585,198.953,0.0434,0.051,554.7122,5680.0,1.103,1.025,0
13.11453,279.6904,0.0667,0.09,433.0,6087.0,1.3,1.45,0
10.53646,206.5895,0.03866,0.0,176.587,5185.0,0.87,1.06,0
12.21781,721.4741,0.061,0.25,746.9025,6065.0,1.39,1.31,0
22.19382,216.1244,0.03397,0.159,1841.0,6001.0,1.367,1.132,0
